gender id vowel accuracy iy ih ei eh ae ah aw oa oo uw uh er vote
m 27 aw 90.0 0 0 0 0 0 2 18 0 0 0 0 0 aw
m 27 eh 85.0 0 0 0 17 2 0 1 0 0 0 0 0 eh
m 27 ei 100.0 0 0 20 0 0 0 0 0 0 0 0 0 ei
m 27 er 95.0 0 0 0 0 1 0 0 0 0 0 0 19 er
m 27 ih 100.0 0 20 0 0 0 0 0 0 0 0 0 0 ih
m 27 iy 100.0 20 0 0 0 0 0 0 0 0 0 0 0 iy
m 27 oa 100.0 0 0 0 0 0 0 0 20 0 0 0 0 oa
m 27 oo 100.0 0 0 0 0 0 0 0 0 20 0 0 0 oo
m 27 uh 100.0 0 0 0 0 0 0 0 0 0 0 20 0 uh
m 27 uw 100.0 0 0 0 0 0 0 0 0 0 20 0 0 uw
m 28 ae 60.0 0 0 0 8 12 0 0 0 0 0 0 0 ae
m 28 ah 85.0 0 0 0 0 0 17 3 0 0 0 0 0 ah
m 28 aw 85.0 0 0 0 0 0 0 17 0 0 0 3 0 aw
m 28 eh 100.0 0 0 0 20 0 0 0 0 0 0 0 0 eh
m 28 ei 100.0 0 0 20 0 0 0 0 0 0 0 0 0 ei
m 28 er 100.0 0 0 0 0 0 0 0 0 0 0 0 20 er
m 28 ih 100.0 0 20 0 0 0 0 0 0 0 0 0 0 ih
m 28 iy 100.0 20 0 0 0 0 0 0 0 0 0 0 0 iy
m 28 oa 100.0 0 0 0 0 0 0 0 20 0 0 0 0 oa
m 28 oo 95.0 0 0 0 0 0 0 0 0 19 1 0 0 oo
m 28 uh 100.0 0 0 0 0 0 0 0 0 0 0 20 0 uh
m 28 uw 100.0 0 0 0 0 0 0 0 0 0 20 0 0 uw
m 29 ae 100.0 0 0 0 0 20 0 0 0 0 0 0 0 ae
m 29 ah 100.0 0 0 0 0 0 20 0 0 0 0 0 0 ah
m 29 aw 40.0 0 0 0 1 0 11 8 0 0 0 0 0 ah
m 29 eh 100.0 0 0 0 20 0 0 0 0 0 0 0 0 eh
m 29 ei 100.0 0 0 20 0 0 0 0 0 0 0 0 0 ei
m 29 er 100.0 0 0 0 0 0 0 0 0 0 0 0 20 er
m 29 ih 100.0 0 20 0 0 0 0 0 0 0 0 0 0 ih
m 29 iy 100.0 20 0 0 0 0 0 0 0 0 0 0 0 iy
m 29 oa 100.0 0 0 0 0 0 0 0 20 0 0 0 0 oa
m 29 oo 100.0 0 0 0 0 0 0 0 0 20 0 0 0 oo
m 29 uh 100.0 0 0 0 0 0 0 0 0 0 0 20 0 uh
m 29 uw 100.0 0 0 0 0 0 0 0 0 0 20 0 0 uw
m 30 ae 95.0 0 0 0 1 19 0 0 0 0 0 0 0 ae
m 30 ah 90.0 0 0 0 0 0 18 0 0 0 0 2 0 ah
m 30 aw 95.0 0 0 0 0 0 0 19 0 0 0 1 0 aw
m 30 eh 100.0 0 0 0 20 0 0 0 0 0 0 0 0 eh
m 30 ei 100.0 0 0 20 0 0 0 0 0 0 0 0 0 ei
m 30 er 100.0 0 0 0 0 0 0 0 0 0 0 0 20 er
m 30 ih 100.0 0 20 0 0 0 0 0 0 0 0 0 0 ih
m 30 iy 100.0 20 0 0 0 0 0 0 0 0 0 0 0 iy
m 30 oa 100.0 0 0 0 0 0 0 0 20 0 0 0 0 oa
m 30 oo 100.0 0 0 0 0 0 0 0 0 20 0 0 0 oo
m 30 uh 80.0 0 0 0 0 0 0 0 0 4 0 16 0 uh
m 30 uw 100.0 0 0 0 0 0 0 0 0 0 20 0 0 uw
m 31 ae 25.0 0 0 0 15 5 0 0 0 0 0 0 0 eh
m 31 ah 65.0 0 0 0 0 1 13 0 0 0 0 6 0 ah
m 31 aw 30.0 0 0 0 0 0 3 6 0 0 0 11 0 uh
m 31 eh 100.0 0 0 0 20 0 0 0 0 0 0 0 0 eh
m 31 ei 100.0 0 0 20 0 0 0 0 0 0 0 0 0 ei
m 31 er 100.0 0 0 0 0 0 0 0 0 0 0 0 20 er
m 31 ih 100.0 0 20 0 0 0 0 0 0 0 0 0 0 ih
m 31 iy 100.0 20 0 0 0 0 0 0 0 0 0 0 0 iy
m 31 oa 100.0 0 0 0 0 0 0 0 20 0 0 0 0 oa
m 31 oo 95.0 0 0 0 0 0 0 0 0 19 0 1 0 oo
m 31 uh 100.0 0 0 0 0 0 0 0 0 0 0 20 0 uh
m 31 uw 100.0 0 0 0 0 0 0 0 0 0 20 0 0 uw
m 32 ae 95.0 0 0 0 1 19 0 0 0 0 0 0 0 ae
m 32 ah 95.0 0 0 0 0 0 19 0 0 0 0 1 0 ah
m 32 aw 70.0 0 0 0 0 0 1 14 0 0 0 5 0 aw
m 32 eh 100.0 0 0 0 20 0 0 0 0 0 0 0 0 eh
m 32 ei 100.0 0 0 20 0 0 0 0 0 0 0 0 0 ei
m 32 er 100.0 0 0 0 0 0 0 0 0 0 0 0 20 er
m 32 ih 100.0 0 20 0 0 0 0 0 0 0 0 0 0 ih
m 32 iy 100.0 20 0 0 0 0 0 0 0 0 0 0 0 iy
m 32 oa 100.0 0 0 0 0 0 0 0 20 0 0 0 0 oa
m 32 oo 100.0 0 0 0 0 0 0 0 0 20 0 0 0 oo
m 32 uh 95.0 0 0 0 0 0 0 1 0 0 0 19 0 uh
m 32 uw 85.0 0 0 0 0 0 0 0 1 2 17 0 0 uw
m 33 ae 95.0 0 0 0 1 19 0 0 0 0 0 0 0 ae
m 33 ah 100.0 0 0 0 0 0 20 0 0 0 0 0 0 ah
m 33 aw 85.0 0 0 0 0 0 3 17 0 0 0 0 0 aw
m 33 eh 100.0 0 0 0 20 0 0 0 0 0 0 0 0 eh
m 33 ei 100.0 0 0 20 0 0 0 0 0 0 0 0 0 ei
m 33 er 100.0 0 0 0 0 0 0 0 0 0 0 0 20 er
m 33 ih 100.0 0 20 0 0 0 0 0 0 0 0 0 0 ih
m 33 iy 100.0 20 0 0 0 0 0 0 0 0 0 0 0 iy
m 33 oa 100.0 0 0 0 0 0 0 0 20 0 0 0 0 oa
m 33 oo 100.0 0 0 0 0 0 0 0 0 20 0 0 0 oo
m 33 uh 100.0 0 0 0 0 0 0 0 0 0 0 20 0 uh
m 33 uw 90.0 0 0 0 0 0 0 0 1 0 18 0 1 uw
m 34 ae 35.0 0 0 0 13 7 0 0 0 0 0 0 0 eh
m 34 ah 100.0 0 0 0 0 0 20 0 0 0 0 0 0 ah
m 34 aw 95.0 0 0 0 0 0 0 19 0 0 0 1 0 aw
m 34 eh 100.0 0 0 0 20 0 0 0 0 0 0 0 0 eh
m 34 ei 100.0 0 0 20 0 0 0 0 0 0 0 0 0 ei
